tmin	tier	text	tmax
179.284639	BHGR	1	179.560402
179.694605	SPTO2	1	180.494569
179.754458	BHGR	1	180.321304
180.556214	BHGR	1	180.923898
181.465211	BHGR	1	181.633733
182.552503	BHGR	1	183.252124
183.288963	SPTO2	1	183.990301
183.640235	BHGR	1	183.921105
184.309216	BHGR	1	184.763715
184.952664	BHGR	1	185.126292
185.391842	BHGR	1	185.565471
186.091463	BHGR	1	186.224238
187.710931	SPTO2	1	188.434186
187.858390	BHGR	1	188.077979
188.618852	BHGR	1	188.843548
189.231659	BHGR	1	189.655517
189.951707	BHGR	1	190.738143
190.883390	SPTO2	1	191.557582
191.013906	BHGR	1	191.611393
191.963757	BHGR	1	192.367188
192.637844	BHGR	1	192.974888
193.235331	BHGR	1	193.398746
196.187509	SPTO2	1	196.845014
198.954423	BHGR	1	199.567230
199.842388	SPTO2	1	200.603998
200.460467	BHGR	1	201.052847
201.308183	BHGR	1	201.711614
201.880136	BHGR	1	202.120152
202.421449	BHGR	1	203.264059
203.713450	BHGR	1	204.576487
204.801183	BHGR	1	205.327176
205.223217	SPTO2	1	206.039618
205.674433	BHGR	1	205.965076
207.987339	BHGR	1	209.248700
209.047951	SPTO2	1	209.919145
210.060669	BHGR	1	211.567153
213.415347	BHGR	1	213.880059
214.017589	SPTO2	1	214.773720
215.549958	BHGR	1	215.774654
216.127018	BHGR	1	216.315967
216.637691	BHGR	1	216.750039
216.969628	BHGR	1	217.138150
217.449660	BHGR	1	217.689676
218.083409	SPTO	1	218.823101
218.771856	BHGR	1	218.955698
219.588932	BHGR	1	219.839162
220.125138	BHGR	1	220.411115
220.753265	BHGR	1	220.916681
221.146483	BHGR	1	221.468207
221.600982	BHGR	1	222.264856
222.193062	SPTO2	1	222.960150
222.601900	BHGR	1	222.872556
223.163640	BHGR	1	223.638565
224.996514	BHGR	1	225.190569
226.058712	BHGR	1	226.702160
226.170964	SPTO	1	226.812281
227.003457	BHGR	1	227.136231
227.376247	BHGR	1	227.544769
227.948201	BHGR	1	228.627395
228.964439	BHGR	1	229.464898
229.643633	BHGR	1	230.011318
230.235568	BHGR	1	230.353022
230.587932	BHGR	1	230.715600
230.697036	SPTO2	1	231.502479
231.537783	BHGR	1	231.706304
232.119949	BHGR	1	232.411033
232.681689	BHGR	1	233.018733
234.065611	BHGR	1	234.719272
234.406702	SPTO	1	235.129957
235.449534	BHGR	1	235.796791
236.485759	BHGR	1	237.221127
237.369222	BHGR	1	238.089270
238.288433	BHGR	1	239.238284
239.316319	SPTO2	1	240.088886
239.508940	BHGR	1	239.769383
240.101320	BHGR	1	240.535392
240.831582	BHGR	1	240.943930
241.132879	BHGR	1	241.475029
241.766112	BHGR	1	242.103156
242.419333	BHGR	1	242.644029
242.935112	BHGR	1	243.226196
243.025740	SPTO	1	243.732557
243.522386	BHGR	1	243.675587
243.956457	BHGR	1	244.165833
244.482450	BHGR	1	244.911415
245.273992	BHGR	1	245.519115
245.759131	BHGR	1	246.489393
246.826437	BHGR	1	246.964318
247.146351	SPTO2	1	247.913440
247.194121	BHGR	1	248.179719
248.863580	BHGR	1	249.113809
249.389572	BHGR	1	250.104514
250.283249	BHGR	1	250.472198
250.671360	BHGR	1	252.688517
251.036586	SPTO	1	251.743653
253.035774	BHGR	1	253.168549
253.403458	BHGR	1	253.684328
253.878384	BHGR	1	254.057119
254.414150	BHGR	1	254.582671
254.802261	BHGR	1	255.072917
255.069530	SPTO2	1	255.902369
255.813392	BHGR	1	255.961487
258.943577	SPTO	1	259.710666
262.609165	SPTO2	1	263.337899
266.833881	SPTO	1	267.557136
267.537552	BHGR	1	267.685647
267.956304	BHGR	1	268.129932
269.539388	BHGR	1	269.866219
269.869610	SPTO2	1	270.664095
270.014314	BHGR	1	270.402425
270.810963	BHGR	1	271.485051
271.699533	BHGR	1	272.302127
272.842999	BHGR	1	273.317925
273.414655	SPTO	1	274.110514
273.966479	BHGR	1	274.461831
